0	0	2.6	6.1	30	-999	-999
1	0.51	5.4	6	30	-999	-999
2	1.01	3.5	5.6	29.6	-999	-999
3	0	1.2	5.1	29.7	-999	-999
4	0.03	5.3	-999	-999	-999	-999
5	0	3.3	-999	-999	-999	-999
6	0	-0.7	-999	-999	-999	-999
7	0	4.7	-999	-999	-999	-999
8	0	8.3	-999	-999	-999	-999
9	0	6	-999	-999	-999	-999
10	0.07	7.3	5.7	30	-999	-999
11	0	-999	6.4	29.9	-999	-999
12	0.06	-999	6.7	30.1	-999	-999
13	0.87	-999	7.3	29.7	-999	-999
14	0.01	-999	5.5	29.3	-999	-999
15	0	-999	3.3	29.8	-999	-999
16	0.04	-999	3.6	30.1	-999	-999
17	0.55	-999	4.8	29.8	-999	-999
18	0	-999	4.5	29	-999	-999
19	0	-999	5.4	29.2	-999	-999
20	0	-999	6.2	29.3	-999	-999
21	0	-999	5.9	29.1	-999	-999
22	0.67	-999	5.9	29.3	-999	-999
23	0	-999	5.8	29.1	-999	-999
24	0.06	4	5.7	29	3.8	-999
25	0	0.2	4.6	29.1	4.9	-999
26	0	0.5	3.9	29.5	4.1	-999
27	0	7	4.4	29.7	4.6	-999
28	0.04	6.9	5.6	30.3	4.2	-999
29	0.01	7.7	6.3	30.3	4.1	-999
30	0.11	4.5	6.3	30.3	4.5	-999
31	0	4	5.8	30.1	3.9	-999
32	0	6.3	5.9	30.3	2.6	-999
33	0.4	9.8	6.5	30.3	2.7	-999
34	0.47	7.2	6.6	30.2	3.8	-999
35	0.12	7.1	6.9	29.7	6.1	-999
36	0	3.2	5.9	29.5	7.4	-999
37	0	2.7	5.1	29.2	5.7	-999
38	0	0.4	5.3	29.9	4.2	-999
39	0	-0.8	4.8	30.2	2.8	-999
40	0	0.4	4.3	30.3	2.6	-999
41	0.06	1	5.2	30.9	2.7	-999
42	0.01	-3.1	3.4	30.9	4.4	-999
43	0	-1.4	2.6	30.8	5.5	-999
44	0	2.4	3.1	30.8	4.5	-999
45	0	5.6	4.2	30.9	3.3	-999
46	0	6.8	5.4	30.9	2.1	-999
47	0.01	7.7	6.2	30.8	4.7	-999
48	0	-2.2	5.2	30.5	4.2	-999
49	0	-5.2	3.3	31.1	3.3	-999
50	0	-1.3	3.3	31.5	1.8	-999
51	0	2.2	3.9	31.6	1	-999
52	0	2.8	4.3	31.7	0.7	-999
53	0.01	4.5	5	31.7	0.7	-999
54	0	1.9	4.6	31.3	2.7	-999
55	0	2.3	4.6	31.9	2.8	-999
56	0	-4.3	3.9	32.1	3.4	-999
57	0	-4	3.1	32	3.9	-999
58	0	-1.8	2.7	32.1	3.4	-999
59	0	0.9	3	32	2.7	-999
60	0.47	0	3.3	32	1.6	-999
61	0	-2.3	3	31.9	1.9	-999
62	0	0.4	2.8	31.7	2	-999
63	0	3.3	3.2	31.7	1.1	-999
64	0	2.4	3.5	32	0.7	-999
65	0	2.3	4	31.9	0.5	-999
66	0	2.6	4.1	31.6	0.3	-999
67	0	6.7	4.6	31.4	0.5	-999
68	0.01	11	5.6	31.1	0.7	-999
69	0	10.5	6.9	30.9	2.1	-999
70	0.47	7.8	7	31.2	2.3	-999
71	0	8.5	7	31.1	1.6	-999
72	0.04	9.5	7.5	30.9	2.9	-999
73	0	5	6.5	30.8	8.4	-999
74	0	4.8	5.7	31.1	6.7	-999
75	0	3.3	6	31.4	2.5	-999
76	0	1.7	5.7	31.6	1.4	-999
77	0	2.1	5.2	31.9	1.3	-999
78	0	1.6	4.9	32.1	1.4	-999
79	0	0.9	4.7	32.3	1.2	-999
80	0	3.4	5.1	32.2	0.9	-999
81	0	5.7	5.5	32.1	0.9	-999
82	0	5.8	5.9	32.3	0.7	-999
83	0	4.8	5.9	32.2	0.7	-999
84	0.02	6.5	5.9	32	1.7	-999
85	0	8.9	6.3	31.8	3.6	-999
86	0	7.2	6.8	31.8	2.8	-999
87	0	7.2	7.4	31.7	3	-999
88	0	8.9	7.9	31.7	2.8	-999
89	0	9.6	8.3	31.7	3	-999
90	0.02	12	8.8	31.6	2.9	-999
